class,precision,recall,f1-score,support
openai,0.6046831955922864,0.5613810741687979,0.5822281167108754,782.0
alibaba,0.6256345177664975,0.6264294790343075,0.626031746031746,787.0
deepseek,0.5997023809523809,0.4890776699029126,0.5387700534759359,824.0
bytedance,0.823915900131406,0.8007662835249042,0.8121761658031088,783.0
moonshot,0.7067938021454112,0.724053724053724,0.715319662243667,819.0
google,0.737516005121639,0.732824427480916,0.7351627313337588,786.0
anthropic,0.7521902377972466,0.7559748427672957,0.7540777917189461,795.0
xai,0.8983050847457628,0.9004854368932039,0.8993939393939394,824.0
micro avg,0.7225452196382429,0.6990625,0.7106099110546379,6400.0
macro avg,0.7185926405315788,0.6988741172282578,0.7078950258389971,6400.0
weighted avg,0.7189474795320429,0.6990625,0.7081479678071813,6400.0
